Gremio,Nombre,Dirección,Teléfono,Email,Persona de contacto,Web,Lat,Lon,ID,Fuente
aire acondicionado,OBRAMAT Castellón,"Rda. Circunvalación, 8, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 24 69 69,,,https://www.obramat.es/nuestros-almacenes/bm-castellon.html,39.9698564,-0.0532243,gplace/None,Google
aire acondicionado,ISANFRED,"Carrer d'Enmig, 12191 La Pobla Tornesa, Castelló, España, 12191, La Pobla Tornesa, Castelló, España",687 80 30 13,,,https://www.isanfred.com/,40.101493,-0.0010357,gplace/None,Google
aire acondicionado,Jminstaladores,"Camí de la Donació, 91, 12100 Grao de Castellón, Castellón, España, 12100, Grao de Castellón, Castellón, España",964 23 09 07,,,https://jminstaladores.es/contacto/,39.9770569,-0.0057077,gplace/None,Google
aire acondicionado,Servifret,"Carrer Calvari, 121, 12540 Vila-real, Castelló, España, 12540, Vila-real, Castelló, España",964 53 14 99,,,http://www.servifret.com/,39.94507600000001,-0.0982262,gplace/None,Google
aire acondicionado,sat instalaciones AG clima,"Carrer de Montcada, 8, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",699 43 67 49,,,,39.9804328,-0.0362186,gplace/None,Google
aire acondicionado,Fontanería Fontlamar,"Carrer la Bassa del Banyador, 16, 12550 Almassora, Castelló, España, 12550, Almassora, Castelló, España",615 28 66 50,,,,39.9392463,-0.0595765,gplace/None,Google
aire acondicionado,"LA FONTANERIA CASTELLON.Fontanero,calefaccion,gas,aire acondicionado","Carrer Poeta Verdaguer, 2, 12002 Castelló de la Plana, Castelló, España, 12002, Castelló de la Plana, Castelló, España",654 42 80 62,,,https://hingenia.wixsite.com/lafontaneria,39.9834694,-0.0397433,gplace/None,Google
aire acondicionado,Roive Automoción,"Carrer de Herbés, Nave 79-80, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",964 91 70 36,,,,39.97105639999999,-0.0576087,gplace/None,Google
aire acondicionado,Pascual Martí Castellón,"Carrer del Ceramista Godofredo Buenosaires, 6, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 26 04 98,,,https://www.pascualmarti.es/tiendas/castellon/,39.97858730000001,-0.0366692,gplace/None,Google
aire acondicionado,"Implica-T Desarrollo Sostenible | Autoconsumo, Energía Solar, Aerotermia, Recarga Vehículo Eléctrico","Camí Pi Gros, 144, NAVE 3, 12005 Castellón de la Plana, Castellón, España, 12005, Castellón de la Plana, Castellón, España",961 16 30 71,,,http://www.implica-t.com/,39.9633125,-0.0637414,gplace/None,Google
